Scenario,Pool,baseline_end,endpoint,delta_end,pct_end,LRR_end,baseline_mean,time_mean,delta_mean,pct_mean,LRR_mean
No predators,A,311.4569947,313.9298535,2.4728588,0.793964766,0.007908295,317.3176688,318.7512559,1.433587049,0.451782926,0.004507655
No predators,B,7.807567673,7.803826516,-0.003741156,-0.047917054,-0.000479285,8.043023942,8.038353833,-0.004670109,-0.05806409,-0.00058081
No predators,CWD,356.6377982,357.9538874,1.316089175,0.369026834,0.003683476,363.9157627,364.6622709,0.746508234,0.205132152,0.00204922
No predators,DOM,4.547306683,4.524805577,-0.022501106,-0.494822711,-0.00496051,13.85740691,13.7991504,-0.058256518,-0.42039985,-0.00421286
No predators,Detritivore,0.196665603,0.603632202,0.406966599,206.933288,1.121460235,0.198449047,0.554537589,0.356088542,179.4357538,1.027602219
No predators,L,5.185253179,5.183044593,-0.002208586,-0.042593608,-0.000426027,4.717113485,4.714296007,-0.002817478,-0.059728856,-0.000597467
No predators,Litter,94.2971593,24.60190122,-69.69525808,-73.91024141,-1.34362734,51.22326955,22.47235236,-28.75091719,-56.1286256,-0.823908142
No predators,M,928.9724489,935.5598779,6.587428997,0.709109189,0.007066068,931.5639508,934.9744177,3.410466933,0.366101214,0.003654327
No predators,MIC,0.131032564,0.130503458,-0.000529106,-0.403797551,-0.00404615,0.125911992,0.125514826,-0.000397166,-0.315431677,-0.003159302
No predators,Organic,877.7111713,944.7245798,67.01340843,7.635018286,0.073575858,863.802974,890.5506532,26.74767914,3.096502322,0.030495279
No predators,P,108.8795654,110.2737848,1.39421938,1.280515195,0.012723859,104.2268771,104.9714062,0.74452911,0.714335046,0.007117958
No predators/detritivores,A,311.4569947,298.6134123,-12.84358235,-4.123709715,-0.042111468,317.3176688,309.7581733,-7.559495561,-2.382311577,-0.024111475
No predators/detritivores,B,7.807567673,7.832768857,0.025201184,0.322778935,0.003222591,8.043023942,8.067030277,0.024006335,0.298473997,0.002980294
No predators/detritivores,CWD,356.6377982,352.90122,-3.736578217,-1.047723555,-0.010532508,363.9157627,361.7832473,-2.13251541,-0.585991493,-0.005877152
No predators/detritivores,DOM,4.547306683,4.661289173,0.11398249,2.506593423,0.024756937,13.85740691,14.16642214,0.30901523,2.229964323,0.022054642
No predators/detritivores,L,5.185253179,5.204150271,0.018897092,0.364439135,0.003637767,4.717113485,4.732271163,0.015157678,0.321333766,0.003208186
No predators/detritivores,Litter,94.2971593,307.9144918,213.6173325,226.536339,1.183371055,51.22326955,220.1330792,168.9098096,329.7521051,1.458038357
No predators/detritivores,M,928.9724489,894.215175,-34.75727391,-3.741475212,-0.038132648,931.5639508,913.5574297,-18.00652111,-1.932934513,-0.0195186
No predators/detritivores,MIC,0.131032564,0.132551976,0.001519412,1.159568176,0.011528967,0.125911992,0.127057104,0.001145112,0.909454445,0.009053438
No predators/detritivores,Organic,877.7111713,685.7498121,-191.9613593,-21.87067518,-0.246804722,863.802974,712.9876553,-150.8153187,-17.45945815,-0.191880597
No predators/detritivores,P,108.8795654,103.0843841,-5.79518136,-5.322561068,-0.054694451,104.2268771,100.3339895,-3.892887641,-3.735013221,-0.038065518